competence;id_agent;modulation
c-s-comm-02;138;0
c-s-comm-02;139;0
c-s-comm-02;140;0
c-s-comm-02;141;0
c-s-comm-02;142;0
c-s-comm-02;143;2
c-s-comm-02;144;3
c-s-comm-02;145;2
c-s-comm-02;146;3
c-s-comm-02;147;2
c-s-comm-02;148;2
c-s-comm-02;149;2
c-s-comm-02;150;3
c-s-comm-02;151;3
c-s-comm-02;152;3
c-s-comm-02;153;3
c-s-comm-02;154;0
c-s-comm-02;155;0
c-s-comm-02;156;3
c-s-comm-02;157;0
c-s-comm-02;158;3
c-s-comm-02;159;0
c-s-comm-02;160;0
c-s-comm-02;161;0
c-s-comm-02;162;0
c-s-comm-02;163;0
c-s-comm-02;164;0
c-s-comm-02;165;0
c-s-comm-02;166;0
c-s-comm-02;167;0
c-s-comm-02;168;0
c-s-comm-02;169;3
c-s-comm-02;170;0
c-s-comm-02;171;0
c-s-comm-02;172;0
c-s-comm-02;173;0
c-s-comm-02;174;0
c-s-comm-02;175;0
c-s-comm-02;176;0
c-s-comm-02;177;0
c-s-comm-02;178;0
c-s-comm-02;179;0
c-s-comm-02;180;0
c-s-comm-02;181;0
c-s-comm-02;182;0
c-s-comm-02;183;0
c-s-comm-02;184;0
c-s-comm-02;185;0
c-s-comm-02;186;0
c-s-comm-02;187;0
c-s-comm-02;188;0
c-s-comm-02;189;0
c-s-comm-02;190;0
c-s-comm-02;191;0
c-s-comm-02;192;0
c-s-comm-02;193;0
c-s-comm-02;194;0
c-s-comm-02;195;0
c-s-comm-02;196;2
c-s-comm-02;197;0
c-s-comm-02;198;0
c-s-comm-02;199;2
c-s-comm-02;200;0
c-s-comm-02;201;0
c-s-comm-02;202;0
c-s-comm-02;203;3
c-s-comm-03;1 ;0
c-s-comm-03;2;0
c-s-comm-03;3;0
c-s-comm-03;4;0
c-s-comm-03;5;0
c-s-comm-03;6;0
c-s-comm-03;7;0
c-s-comm-03;8;0
c-s-comm-03;9;0
c-s-comm-03;10;0
c-s-comm-03;11;0
c-s-comm-03;12;0
c-s-comm-03;13;0
c-s-comm-03;14;0
c-s-comm-03;15;0
c-s-comm-03;16;0
c-s-comm-03;17;0
c-s-comm-03;18;0
c-s-comm-03;19;0
c-s-comm-03;20;0
c-s-comm-03;21;0
c-s-comm-03;22;0
c-s-comm-03;23;0
c-s-comm-03;24;0
c-s-comm-03;25;0
c-s-comm-03;26;0
c-s-comm-03;27;0
c-s-comm-03;28;0
c-s-comm-03;29;0
c-s-comm-03;30;0
c-s-comm-03;31;0
c-s-comm-03;32;0
c-s-comm-03;33;0
c-s-comm-03;34;0
c-s-comm-03;35;0
c-s-comm-03;36;0
c-s-comm-03;37;0
c-s-comm-03;38;0
c-s-comm-03;39;0
c-s-comm-03;40;0
c-s-comm-03;41;0
c-s-comm-03;42;2,5
c-s-comm-03;43;0
c-s-comm-03;44;0
c-s-comm-03;45;0
c-s-comm-03;46;0
c-s-comm-03;47;0
c-s-comm-03;48;0
c-s-comm-03;49;0
c-s-comm-03;50;0
c-s-comm-03;51;0
c-s-comm-03;52;0
c-s-comm-03;53;0
c-s-comm-03;54;0
c-s-comm-03;55;0
c-s-comm-03;56;0
c-s-comm-03;57;0
c-s-comm-03;58;0
c-s-comm-03;59;0
c-s-comm-03;60;0
c-s-comm-03;61;2,5
c-s-comm-03;62;0
c-s-comm-03;63;0
c-s-comm-03;64;0
c-s-comm-03;65;0
c-s-comm-03;66;0
c-s-comm-03;67;0
c-s-comm-03;68;0
c-s-comm-03;69;0
c-s-comm-03;70;0
c-s-comm-03;71;0
c-s-comm-03;72;0
c-s-comm-03;73;0
c-s-comm-03;74;0
c-s-comm-03;75;0
c-s-comm-03;76;0
c-s-comm-03;77;0
c-s-comm-03;78;0
c-s-comm-03;79;0
c-s-comm-03;80;0
c-s-comm-03;81;0
c-s-comm-03;82;0
c-s-comm-03;83;0
c-s-comm-03;84;0
c-s-comm-03;85;0
c-s-comm-03;86;0
c-s-comm-03;87;0
c-s-comm-03;88;0
c-s-comm-03;89;0
c-s-comm-03;90;0
c-s-comm-03;91;0
c-s-comm-03;92;0
c-s-comm-03;93;0
c-s-comm-03;94;0
c-s-comm-03;95;0
c-s-comm-03;96;0
c-s-comm-03;97;0
c-s-comm-03;98;0
c-s-comm-03;99;0
c-s-comm-03;100;0
c-s-comm-03;101;0
c-s-comm-03;102;0
c-s-comm-03;103;0
c-s-comm-03;104;0
c-s-comm-03;105;0
c-s-comm-03;106;0
c-s-comm-03;107;0
c-s-comm-03;108;0
c-s-comm-03;109;0
c-s-comm-03;110;0
c-s-comm-03;111;0
c-s-comm-03;112;0
c-s-comm-03;113;0
c-s-comm-03;114;0
c-s-comm-03;115;0
c-s-comm-03;116;0
c-s-comm-03;117;0
c-s-comm-03;118;0
c-s-comm-03;119;0
c-s-comm-03;120;0
c-s-comm-03;121;0
c-s-comm-03;122;0
c-s-comm-03;123;0
c-s-comm-03;124;0
c-s-comm-03;125;0
c-s-comm-03;126;0
c-s-comm-03;127;0
c-s-comm-03;128;0
c-s-comm-03;129;0
c-s-comm-03;130;0
c-s-comm-03;131;0
c-s-comm-03;132;0
c-s-comm-03;133;0
c-s-comm-03;134;0
c-s-comm-03;135;0
c-s-comm-03;136;0
c-s-comm-03;137;0
c-s-comm-03;138;0
c-s-comm-03;139;0
c-s-comm-03;140;0
c-s-comm-03;141;0
c-s-comm-03;142;0
c-s-comm-03;143;0
c-s-comm-03;144;0
c-s-comm-03;145;0
c-s-comm-03;146;0
c-s-comm-03;147;0
c-s-comm-03;148;0
c-s-comm-03;149;2,5
c-s-comm-03;150;0
c-s-comm-03;151;0
c-s-comm-03;152;0
c-s-comm-03;153;1
c-s-comm-03;154;0
c-s-comm-03;155;0
c-s-comm-03;156;1
c-s-comm-03;157;3
c-s-comm-03;158;0
c-s-comm-03;159;0
c-s-comm-03;160;0
c-s-comm-03;161;0
c-s-comm-03;162;0
c-s-comm-03;163;0
c-s-comm-03;164;0
c-s-comm-03;165;0
c-s-comm-03;166;0
c-s-comm-03;167;0
c-s-comm-03;168;0
c-s-comm-03;169;0
c-s-comm-03;170;0
c-s-comm-03;171;0
c-s-comm-03;172;2,5
c-s-comm-03;173;0
c-s-comm-03;174;0
c-s-comm-03;175;0
c-s-comm-03;176;0
c-s-comm-03;177;0
c-s-comm-03;178;0
c-s-comm-03;179;0
c-s-comm-03;180;0
c-s-comm-03;181;0
c-s-comm-03;182;0
c-s-comm-03;183;0
c-s-comm-03;184;0
c-s-comm-03;185;0
c-s-comm-03;186;0
c-s-comm-03;187;0
c-s-comm-03;188;0
c-s-comm-03;189;0
c-s-comm-03;190;0
c-s-comm-03;191;0
c-s-comm-03;192;0
c-s-comm-03;193;0
c-s-comm-03;194;0
c-s-comm-03;195;0
c-s-comm-03;196;0
c-s-comm-03;197;0
c-s-comm-03;198;0
c-s-comm-03;199;0
c-s-comm-03;200;0
c-s-comm-03;201;0
c-s-comm-03;202;0
c-s-comm-03;203;0
